N,RS,JS,PJW,ELF,BKDR,SDBM,DJB,DEK,AP
100,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0
5000,0,0,0,0,0,0,0,0,0
10000,0,0,1,1,0,0,0,0,0
50000,13,17,74,74,13,14,13,13,13
100000,51,63,267,267,51,52,52,53,52
